index,premise,hypothesis,label
1,"삼성은 자작극을 벌인 2명에게 형사 고소 등의 법적 대응을 검토 중이라고 하였으나, 중국 내에서의 여론은 자작극이라는 증거가 충분함에도 불구하고 좋지 않다.",자작극을 벌인 이는 3명이다.,contradiction
2,이를 위해 예측적 범죄예방 시스템을 구축하고 고도화한다.,예측적 범죄예방 시스템 구축하고 고도화하는 것은 목적이 있기 때문이다.,entailment
3,광주광역시가 재개발 정비사업 원주민들에 대한 종합대책을 마련하는 등 원주민 보호에 적극 나섰다.,원주민들은 종합대책에 만족했다.,neutral
4,"진정 소비자와 직원들에게 사랑 받는 기업으로 오래 지속되고 싶으면, 이런 상황에서는 책임 있는 모습을 보여주는 것이 필요하다.",이런 상황에서 책임 있는 모습을 보여주는 기업은 아주 드물다.,neutral
5,이번 증설로 코오롱인더스트리는 기존 생산량 7만7000톤에서 1만6800톤이 늘어나 총 9만 3800톤의 생산 능력을 확보하게 됐다.,코오롱 인더스트리는 총 9만 3800톤의 생산 능력을 확보했다.,entailment
6,자신뿐만 아니라 남을 돕고자 하는 청년의 꿈과 열정에 모두가 주목하고 있다.,모든 청년은 꿈과 열정을 가지고 있다.,neutral
7,시대상황을 고려하는 현명한 시청태도가 요구되다.,시청태도에 특별한 주의점은 없다.,contradiction
8,사진과 차이없는 아기자기한 실내소품들과 분위기가 멋졌습니다.,아기자기한 실내소품들은 사진에서 본 것과 차이가 있었습니다.,contradiction
9,"빠른 답장과 간편한 체크인, 깨끗한 집 좋았어요",체크인이 복잡했어요.,contradiction
10,대부분 도보로 이동하기 충분하다는 점이 매력적이었어요.,대부분 걸어서 갈수 있어요.,entailment
11,오후에는 소흘읍민의 멋진 끼를 엿볼 수 있는 호수둘레길 버스킹 공연이 연이어 진행된다.,호수둘레길 버스킹 공연에 많은 군민들이 참석했다.,neutral
12,영화 시작부터 끝까지 긴장감을 늦출 수가 없네요.,영화 시작부터 긴장감이 함께하네요.,entailment
13,야쿱 벡의 자살 정보가 영국에 도착한 것은 7월 16일이었다.,아직 야쿱 벡의 자살 정보가 영국에 도착하지 않았다.,contradiction
14,가족이 없거나 야간시간대 돌봄을 제공하기 위해 하루 중 단시간 동안 수시로 방문하는 24시간 순회돌봄서비스 도입 등이 그 예다.,24시간 순회돌봄서비스는 가족이 없거나 야간시간대 돌봄을 제공하기 위해 하루 중 장시간 동안 한번 방문한다.,contradiction
15,상당히 많은 것을 내포하고 있는 영화.,인간의 감정에 대한 내용을 내포하고 있는 영화.,neutral
16,국토교통부는 연료보조금 지급 근거를 마련하기 위해 올해 하반기에 여객자동차 및 화물자동차 운수사업법을 개정할 계획이다.,여객자동차 및 화물자동차 운수사업법을 국토교통부가 개정할 계획이다.,entailment
17,치료방법 꽤 신선했고 에단호크 뱀파이어 존멋,에단호크 뱀파이어가 못생기고 별로다.,contradiction
18,계속 빨라지는 우주 기술의 속도를 보면 우리가 달이나 화성으로 우주 관광을 떠나게 될 날도 머지않은 것 같다.,일부에서는 10년 내에 우주관광이 상용화 될 것이라고 말한다.,neutral
19,코믹을 약간 섞은 소스맛으로만 색다르다,색다른 이유는 코믹을 약간 섞었기 때문이다.,entailment
20,세비야 대성당에서 5분안에 갈수있습니다,세비야 대성당에서 10분 안걸려요.,entailment
21,이번 장에서도 지역주민들은 생활필수품과 옷가지 기부가 이어졌다.,이전 장에서도 지역주민들의 기부가 있어왔다.,entailment
22,"아마존은 창업 초기 수년간 적자 누적을 감수하면서 직매입과 저가 정책, 타사 대비 빠른 배송을 무기로 시장을 장악했다.",아마존은 창업 초기에도 수년간 시장을 장악했다.,neutral
23,마지막 다 같이 노래부르고 춤추는 장면은 충격적,반전으로 인해 충격을 준 마지막 장면.,neutral
24,"이는 더불어민주당, 자유한국당, 바른미래당, 무소속 의원으로 구성된 경상북도의회 유일의 4색 상임위원회인 행정보건복지위원회에 이목이 집중되는 이유이기도 하다.",행정보건복지위원회는 많은 관심을 받는다.,entailment
25,마지막 경기씬은 록키1보다 더 대단했다.,록키1에도 경기씬이 있다.,entailment
26,"이에 공업지역의 도시계획적 관리를 위해 공공주도의 체계적 관리체계 마련, 지역여건에 맞는 사업화를 위한 각종 지원체계 도입 등 제도기반을 마련한다.",공업지역의 도시계획적 관리를 위한 제도기반을 마련할 계획이 없다.,contradiction
27,"이를 위해 정부의 혁신성장 정책에 빠르게 대응해 새로운 먹거리를 창출하고, 창업 기업을 적극 발굴해 지원하는 방안 등을 모색할 방침이다.",정부의 혁신성장 정책에 빠르게 대응하기 위해 여러 방안을 모색할 방침이다.,entailment
28,고려 출신으로 원나라의 장군이 되었던 최유는 고려군에게 포로로 잡혔다.,최유는 고려사람이었다.,entailment
29,이기사에 나온 사례의 경우에는 업소는 야니브에게 성전환 수술 여부를 묻지 않고 바로 연락을 끊었다.,업소가 성전환 수술 여부를 묻지 않고 연락을 끊은 사례가 존재한다.,entailment
30,"장흥9경9미9품 사진전, 홍보용 기념품 및 관광리플렛 배부 등을 통해 장흥군 홍보와 관광객 잡기에 나섰다.",장흥군은 홍보용 기념품 배부를 중단한다.,contradiction
31,이렇게 무리 없이 잠수함을 운영하는데에는 잠수함 사령부의 우수한 인력도 한 몫 한다.,우수한 인력도 잠수함을 무리 없이 운영하는데에 한 몫 한다.,entailment
32,"인테리어가 굉장히 귀엽고 러블리한게, 사진에서 보이는 그대로입니다.",새롭게 인테리어를 했습니다.,neutral
33,가족 4명이서 지내기에 불편함이 전혀 없었어요.,가족 4명이서 지낼 때 불편함이 있었어요.,contradiction
34,특히 지난해 광주를 방문한 외국인환자수의 전년 대비 증가율은 전국 최고 수준으로 나타났다.,외국인환자수의 전년 대비 증가율은 광주가 전국 최고이다.,entailment
35,"구글 두들은 기념일이나 행사, 업적, 인물을 기리기 위해 구글 홈페이지에 있는 구글의 로고를 일시적으로 특별히 바꿔 놓은 로고를 말한다.",구글 홈페이지에는 구글의 로고가 일시적으로 특별히 바뀌는 기능은 없다.,contradiction
36,칠던의 가게는 금속 주조 회사인 윈덤 맷슨 코퍼레이션과 거래하고 있다.,칠던의 가게는 윈덤 맷슨 코퍼레이션과 거래를 끊었다.,contradiction
37,대중교통이 열악한 농어촌 지역에 거주하는 농어업인 등 교통취약계층의 접근성 제고를 위한 첫마을택시 개통식이 지난 4일 늘목1리 하늘아래첫동네에서 개최됐다.,첫마을택시는 교통 접근이 불편한 농어촌 사람을 위한 것이다.,entailment
38,특히 공식 유튜브 채널에서는 한국어와 영어로 제공되는 큐레이터 라이브 전시투어 영상을 확인할 수 있다.,큐레이터 라이브 전시투어 영상은 2개 언어로 제공됩니다.,entailment
39,"퍼셉트론은 인공신경망의 한 종류로서, 1957년에 코넬 항공 연구소의 프랑크 로젠블라트에 의해 고안되었다.",코넬 항공 연구소는 인공신경망 전문 연구소이다.,neutral
40,경제청과 한국토지주택공사는 지난 주민설명회에서 약속한 3월 말까지 공식적인 입장 표명을 위해 발 빠르게 움직이고 있다.,경제청과 LH는 3월 말까지 입장 표명을 해야 한다.,entailment
41,그의 친구들은 그에게 그녀가 문학 교사이며 그동안 학교에서 소문과 괴롭힘의 대상이 되어왔다고 말해준다.,그녀는 체육 교사로 동료 교사를 괴롭혔다.,contradiction
42,도미니크 노래가 영화화 될줄 몰랐네요.,도미니크 노래가 영화화 될줄 알지 못했네요.,entailment
43,와이파이만 잘된다면 정말 최고의 에어비앤비입니다.,와이파이가 구식모델이라 잘 작동하지 않습니다.,neutral
44,하지만 나는 왠지 모를 흐뭇함이 느껴졌다.,다른 사람들과 다르게 나는 왠지 모를 흐뭇함이 느껴졌다.,neutral
45,올해는 상반기에 2회에 걸쳐 80여 명이 남도문화를 살펴봤다.,80여명이 상반기에 남도문화를 살펴봤다.,entailment
46,주인공 운혁과 젊은이들을 통해 그려진 시청자와 함께한 드라마.,드라마에 젊은이들이 출연한다.,entailment
47,"전남생활체육대축전은 25일부터 3일간 진남경기장 등에서 검도, 게이트볼, 궁도 등 22개 종목으로 치러진다.",전남생활체육대축전의 종목에는 태권도도 포함된다.,neutral
48,어릴때 키우던 강아지가 생각나 눈물날뻔했어요,어릴 때 키우던 고양이가 생각나 눈물날 뻔 했어요.,neutral
49,오랜만에 가슴 벅찬 감동을 느꼈습니다,가슴 벅찬 감동은 오랜만입니다.,entailment
50,"액션러닝, 실전 마케팅 및 세일즈체험, 국내외 선진지 답사 등 팀원 간 협력이 필요한 체험 중심으로 프로그램이 구성됐다.",액션러닝에서는 팀원들의 협력이 요구된다.,entailment
51,"한편 쇼헤이의 아내는 갑자기 귀가가 늦어지자, 바람을 피는 건 아닌지 걱정되어 탐정을 고용해 쇼헤이의 주변을 조사한다.",쇼헤이는 딱히 아내의 늦은 귀가를 걱정하지 않는다.,contradiction
52,눈이 와서 테라스를 사용 못한건 좀 아쉬워요.,아쉬운 점이 있었어요.,entailment
53,이 작품에는 가톨릭 사제들을 괴물로 묘사하는 기괴한 그림들이 실려 있었다.,이 기괴한 그림들은 악마를 숭배하는 자들의 작품이었다.,neutral
54,아트 슈피겔만은 아버지 블라덱 슈피겔만의 삶을 만화로 그리기 위해 몇 년간 수차례에 걸쳐 그와 녹취 인터뷰를 한다.,아트 슈피겔만은 몇 년간 아버지와 소통이 없었다.,contradiction
55,"주변에 다양한 체험을 할 수 있는 상하농원, 만돌 어촌갯벌체험마을, 선운산 도립공원 등이 있다.",선운산 도립공원에는 체험할 수 있는 것이 없다.,contradiction
56,"유진은 집안에서 반대하는 결혼을 하고 프랑스로 유학을 갔다가 남편을 잃었는데, 그런 남편과 철민은 너무나 닮았다.",유진의 남편과 철민은 형제이다.,neutral
57,데미 무어와 게리 올드먼의 연기는 좋네요,게리 올드먼의 연기력은 훌륭하네요.,entailment
58,최고다 이건 말로 할 수 없을 정도로 최고다,이것은 최악이다.,contradiction
59,각종 안전사고 및 재해사례를 통해 안전사고 예방의 중요성을 알리고 위급상황의 적절한 대처법을 안내했다.,안전사고 예방법은 생각보다 쉽다.,neutral
60,곳곳에 드러나는 색감과 아이템이 영국을 나타냈다.,영국을 드러내는 색감은 한 개 이상이다.,neutral
61,"각 분야별 전문가 의견수렴을 거쳐 보고서 내 연구의 신뢰도를 견고한 동의, 중간적 동의, 제한적 동의 3단계로 평가해 제시했다.",보고서 내 연구의 신뢰도를 3단계로 평가해 제시했다.,entailment
62,영화가 빨리 끝나는 순간만 기다렸다.,영화가 빨리 시작하기만을 기다렸다.,contradiction
63,"그 순간, 빌은 그의 환자이던 루 네이단슨의 부고 소식을 접하게 되며, 그 집에 찾아가게 된다.",빌은 우연히 루 네이단슨의 집에 찾아가게 된다.,contradiction
64,순천시는 2019년에도 소규모 공동주택에 대한 안전점검을 지속 추진하여 시민들의 안전을 보다 세밀하게 살필 예정이다.,순천시는 시민들의 안전을 대략적으로 점검할 예정이다.,contradiction
65,한편 이번에 공급을 시작하는 렘데시비르의 도입물량 등에 대해서는 길리어드사와의 계약조건에 따라 비공개하기로 했다.,렘데시비르의 도입물량은 오늘 온라인 상으로 공개한다.,contradiction
66,소청은 국가공무원법에 따라 설치된 소청심사위원회에 청구하고 고충 심사 중 재심 또는 소방령 이상의 고충은 중앙고충심사위원회에서 심사하는 형태가 된다.,소청심사는 6개월이 걸린다.,neutral
67,"반면 삼성그룹의 어두운 면이 없지 않아 있으며, 경영권 불법 승계 관련 의혹 등의 부정적인 견해도 있다.",삼성그룹의 경영권 불법 승계 관련 의혹 등의 부정적인 견해도 있다.,entailment
68,잔인한 특수효과 없이도 공포와 스릴러의 정도를 보여줍니다.,충분히 공포스럽지만 잔인한 특수효과가 없어 조금 아쉬웠습니다.,neutral
69,벅찬 무게를 짊어진 강하고도 안타까운 인력거 꾼의 삶을 편집해야만 한 아쉬운 영화,벅찬 무게를 짊어진 약하고 안타까운 인력거꾼의 삶을 무편집으로 내보낸 영화.,contradiction
70,일본의 한 언론은 21일 아베 신조 자민단 총재가 박근혜 대통령 당선자를 위해 특사를 파견하고 친서를 전달할 예정이라고 밝힌 바 있다.,아베 신조 자민단 총재가 박근혜 대통령 당선자를 위해 무엇을 할 것인지는 아직 미공개이다.,contradiction
